chunk,device,status,returncode,elapsed_sec,output_sdf,log
fxia_filtered_all_chunk_0038.sdf,5,ok,0,5862.163,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0038_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0038_gnina.log
fxia_filtered_all_chunk_0039.sdf,6,ok,0,5528.61,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0039_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0039_gnina.log
fxia_filtered_all_chunk_0040.sdf,7,ok,0,5914.208,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0040_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0040_gnina.log
fxia_filtered_all_chunk_0041.sdf,0,ok,0,4373.126,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0041_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0041_gnina.log
fxia_filtered_all_chunk_0042.sdf,1,ok,0,4123.338,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0042_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0042_gnina.log
fxia_filtered_all_chunk_0043.sdf,2,ok,0,4229.697,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0043_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0043_gnina.log
fxia_filtered_all_chunk_0044.sdf,3,ok,0,4131.125,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0044_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0044_gnina.log
fxia_filtered_all_chunk_0045.sdf,4,ok,0,4141.954,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0045_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0045_gnina.log
fxia_filtered_all_chunk_0046.sdf,5,ok,0,4114.724,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0046_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0046_gnina.log
fxia_filtered_all_chunk_0047.sdf,6,ok,0,4051.554,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0047_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0047_gnina.log
fxia_filtered_all_chunk_0048.sdf,7,ok,0,4055.827,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0048_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0048_gnina.log
fxia_filtered_all_chunk_0049.sdf,0,ok,0,3652.36,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0049_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0049_gnina.log
fxia_filtered_all_chunk_0050.sdf,1,ok,0,3859.253,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0050_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0050_gnina.log
fxia_filtered_all_chunk_0051.sdf,2,ok,0,3907.874,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0051_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0051_gnina.log
fxia_filtered_all_chunk_0052.sdf,3,ok,0,3874.236,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0052_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0052_gnina.log
fxia_filtered_all_chunk_0053.sdf,4,ok,0,3807.601,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0053_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0053_gnina.log
fxia_filtered_all_chunk_0054.sdf,5,ok,0,3910.699,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0054_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0054_gnina.log
fxia_filtered_all_chunk_0055.sdf,6,ok,0,3876.757,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0055_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0055_gnina.log
fxia_filtered_all_chunk_0056.sdf,7,ok,0,3866.68,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0056_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0056_gnina.log
fxia_filtered_all_chunk_0057.sdf,0,ok,0,3705.573,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0057_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0057_gnina.log
fxia_filtered_all_chunk_0058.sdf,1,ok,0,3868.772,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0058_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0058_gnina.log
fxia_filtered_all_chunk_0059.sdf,2,ok,0,3843.271,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0059_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0059_gnina.log
fxia_filtered_all_chunk_0060.sdf,3,ok,0,3841.909,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0060_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0060_gnina.log
fxia_filtered_all_chunk_0061.sdf,4,ok,0,3877.305,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0061_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0061_gnina.log
fxia_filtered_all_chunk_0062.sdf,5,ok,0,3871.441,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0062_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0062_gnina.log
fxia_filtered_all_chunk_0063.sdf,6,ok,0,3825.242,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0063_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0063_gnina.log
fxia_filtered_all_chunk_0064.sdf,7,ok,0,3887.624,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0064_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0064_gnina.log
fxia_filtered_all_chunk_0065.sdf,0,ok,0,3715.01,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0065_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0065_gnina.log
fxia_filtered_all_chunk_0066.sdf,1,ok,0,3784.73,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0066_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0066_gnina.log
fxia_filtered_all_chunk_0067.sdf,2,ok,0,3907.731,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0067_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0067_gnina.log
fxia_filtered_all_chunk_0068.sdf,3,ok,0,3805.897,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0068_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0068_gnina.log
fxia_filtered_all_chunk_0069.sdf,4,ok,0,3881.671,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0069_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0069_gnina.log
fxia_filtered_all_chunk_0070.sdf,5,ok,0,3830.354,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0070_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0070_gnina.log
fxia_filtered_all_chunk_0071.sdf,6,ok,0,3884.271,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0071_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0071_gnina.log
fxia_filtered_all_chunk_0072.sdf,7,ok,0,3887.95,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0072_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0072_gnina.log
fxia_filtered_all_chunk_0073.sdf,0,ok,0,3659.886,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0073_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0073_gnina.log
fxia_filtered_all_chunk_0074.sdf,1,ok,0,3897.549,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0074_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0074_gnina.log
fxia_filtered_all_chunk_0075.sdf,2,ok,0,3867.232,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0075_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0075_gnina.log
fxia_filtered_all_chunk_0076.sdf,3,ok,0,1521.645,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/poses/fxia_filtered_all_chunk_0076_gnina_poses.sdf,/data/cxl/BioFXla/results/docking/gnina_7mbo/all_filtered_gpu_cnnfast/logs/fxia_filtered_all_chunk_0076_gnina.log
