molecule_id,name,parent_smiles,activity_type,activity_nm,source_url,confidence,notes
CHEMBL5204065,,Cn1nncc1-c1cnn([C@H](Cc2ccc(F)cc2)c2ccc(-c3c(-n4cnnn4)ccc(Cl)c3F)c[n+]2[O-])c1,Ki,0.13,https://www.ebi.ac.uk/chembl/activity_report_card/24825248,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5188215,,COCC[C@H](c1ccc(-c2c(-n3cnnn3)ccc(Cl)c2F)c[n+]1[O-])n1cc(-c2cnnn2C)cn1,Ki,0.13,https://www.ebi.ac.uk/chembl/activity_report_card/24825249,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL6167004,,CC[C@@H](c1cc(-c2ccc(N)nc2)ccn1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cnnn2)cc1=O,IC50,0.13,https://www.ebi.ac.uk/chembl/activity_report_card/29174294,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5813834,,O=C1CCCC[C@H](c2ccc(-c3c(-n4cnnn4)ccc(Cl)c3F)c[n+]2[O-])c2cccc(c2)-c2cc(C(=O)O)ccc2N1,Ki,0.13,https://www.ebi.ac.uk/chembl/activity_report_card/27397193,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5928310,,COC(=O)Nc1ccc2c(c1)NC(=O)CCCC[C@H](c1ccc(-c3cc(Cl)ccc3-n3cc(Cl)nn3)c[n+]1[O-])c1cccc-2c1,Ki,0.13,https://www.ebi.ac.uk/chembl/activity_report_card/27397289,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5978240,,CCc1[nH]c2nc1-c1ccc(NC(=O)OC)cc1NC(=O)CCCCC2c1ccc(-c2c(F)ccc(Cl)c2F)c[n+]1[O-],Ki,0.13,https://www.ebi.ac.uk/chembl/activity_report_card/27397577,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5868013,,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](c1ccc(-c3c(OC(F)F)ccc(F)c3F)c[n+]1[O-])c1nc-2c(C)[nH]1,Ki,0.13,https://www.ebi.ac.uk/chembl/activity_report_card/27397736,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4110346,,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](N1CCC(c3cc(Cl)ccc3OC(F)F)=CC1=O)c1cc-2ccn1,Ki,0.13,https://www.ebi.ac.uk/chembl/activity_report_card/27608378,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4103982,,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C(C)C)CCC[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c[nH]1,Ki,0.14,https://www.ebi.ac.uk/chembl/activity_report_card/18264409,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5795968,,O=C(O)c1ccc(NC(=O)[C@H](C[C@H]2CC[C@H](O)CC2)c2ccc(-c3c(OC(F)F)ccc(Cl)c3F)c[n+]2[O-])cc1,IC50,0.14,https://www.ebi.ac.uk/chembl/activity_report_card/27037682,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5843501,,O=C(O)c1ccc(NC(=O)[C@H](CC2CC2)c2ccc(-c3cc(Cl)ccc3-n3cnnn3)c[n+]2[O-])cc1,IC50,0.14,https://www.ebi.ac.uk/chembl/activity_report_card/27323927,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5966546,,COC(=O)Nc1ccc2c(c1)NC(=O)CCCCC(c1ccc(-c3cc(Cl)ccc3-n3cnnn3)c[n+]1[O-])c1cc-2[n+]([O-])cc1F,Ki,0.14,https://www.ebi.ac.uk/chembl/activity_report_card/27397448,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5759902,,COC(=O)Nc1ccc2c(c1)NC(=O)CCCCC(c1ccc(-c3cc(Cl)ccc3OC(F)F)c[n+]1[O-])c1nc-2c[nH]1,Ki,0.14,https://www.ebi.ac.uk/chembl/activity_report_card/27397547,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5878263,,COC(=O)Nc1ccc2c(c1)NC(=O)CCCC[C@H](c1ccc(-c3c(F)cccc3OC(F)F)c[n+]1[O-])c1nc-2c(C)[nH]1,Ki,0.14,https://www.ebi.ac.uk/chembl/activity_report_card/27397628,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5813304,,Cc1[nH]c2nc1-c1ccc(N)cc1NC(=O)CCCC[C@@H]2c1ccc(-c2c(F)ccc(Cl)c2F)c[n+]1[O-],Ki,0.14,https://www.ebi.ac.uk/chembl/activity_report_card/27397634,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5879132,,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](c1ccc(-c3c(F)cccc3F)c[n+]1[O-])c1nc-2c(C2CC2)[nH]1,Ki,0.14,https://www.ebi.ac.uk/chembl/activity_report_card/27397694,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL6056231,,CCc1[nH]c2nc1-c1ccc(NC(=O)OC)cc1NC(=O)[C@H](C)CCC[C@@H]2c1ccc(-c2c(F)cccc2OC(F)F)c[n+]1[O-],Ki,0.14,https://www.ebi.ac.uk/chembl/activity_report_card/27397706,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL6036933,,C[C@@H]1CCC[C@H](c2ccc(-c3cc(Cl)ccc3-n3cc(Cl)nn3)c[n+]2[O-])c2cccc(c2)-c2c(cnn2C(F)F)NC1=O,Ki,0.14,https://www.ebi.ac.uk/chembl/activity_report_card/27397811,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5817719,,CCc1[nH]c2nc1-c1ccc(NC(=O)OC)cc1NC(=O)CCCC[C@@H]2c1ccc(-c2c(F)cccc2OC(F)F)c[n+]1[O-],Ki,0.15,https://www.ebi.ac.uk/chembl/activity_report_card/27397631,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5749783,,COC(=O)Nc1ccc2c(c1)NC(=O)CCCC[C@H](c1ccc(-c3c(OC(F)F)ccc(F)c3F)c[n+]1[O-])c1nc-2c(C)[nH]1,Ki,0.15,https://www.ebi.ac.uk/chembl/activity_report_card/27397640,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4110901,,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](N1CCC(c3c(C#N)ccc(Cl)c3F)=CC1=O)c1ccnc-2c1,Ki,0.15,https://www.ebi.ac.uk/chembl/activity_report_card/27608552,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL4071545,,COC(=O)Nc1ccc2c(c1)NC(=O)CC/C=C/C[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c[nH]1,Ki,0.16,https://www.ebi.ac.uk/chembl/activity_report_card/17956409,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5196642,,COC(=O)Nc1ccc2c(c1)NC(=O)C(C)(C)CCC[C@H](c1ccc(-c3cc(F)ccc3OC(F)F)c[n+]1[O-])c1nc-2c(C(=O)O)[nH]1,IC50,0.16,https://www.ebi.ac.uk/chembl/activity_report_card/24749841,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL6008405,,N[C@@H](CCCCNC(=O)CN1CC=C(c2cccc3c2CCN(C(=O)[C@H]2CC(c4cccc(Cl)c4F)=NO2)[C@@H]3C(=O)Nc2ccc(C(=O)O)cc2)CC1)C(=O)O,IC50,0.16,https://www.ebi.ac.uk/chembl/activity_report_card/28881254,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL6044161,,O=C(O)c1ccc(NC(=O)[C@H](Cc2ccccc2)c2ccc(-c3cc(Cl)ccc3-n3cnnn3)c[n+]2[O-])cc1,IC50,0.16,https://www.ebi.ac.uk/chembl/activity_report_card/27323810,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5780336,,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](c1ccc(-c3c(F)ccc(Cl)c3F)c[n+]1[O-])c1cc-2ncc1F,Ki,0.16,https://www.ebi.ac.uk/chembl/activity_report_card/27397415,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5093567,,C[C@@H]1CCC[C@H](n2cnc(-c3cc(Cl)ccc3-n3cc(Cl)nn3)cc2=O)c2cc(ccn2)-c2c(cnn2C)NC1=O,Ki,0.17,https://www.ebi.ac.uk/chembl/activity_report_card/24387453,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5170592,,Cn1nncc1-c1cnn([C@H](CCOC(F)F)c2ccc(-c3c(-n4cc(Cl)nn4)ccc(Cl)c3F)c[n+]2[O-])c1,Ki,0.17,https://www.ebi.ac.uk/chembl/activity_report_card/24825253,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5847894,,COC(=O)c1cc(-c2[nH]c(C3(O)CCc4cc(-c5cc(Cl)ccc5NC(=O)OC(C)(C)C)c[n+]([O-])c43)nc2Cl)cs1,IC50,0.17,https://www.ebi.ac.uk/chembl/activity_report_card/26932171,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5765808,,COC(=O)Nc1ccc2c(c1)NC(=O)CCCCC(c1ccc(-c3cc(Cl)ccc3OC(F)(F)F)c[n+]1[O-])c1nc-2c[nH]1,Ki,0.17,https://www.ebi.ac.uk/chembl/activity_report_card/27397538,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5795285,,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](c1ccc(-c3c(F)ccc(Cl)c3F)c[n+]1[O-])c1nc-2c[nH]1,Ki,0.17,https://www.ebi.ac.uk/chembl/activity_report_card/27397583,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL5847309,,CCOC(=O)Nc1ccc2c(c1)NC(=O)CCCC[C@H](c1ccc(-c3c(F)ccc(Cl)c3F)c[n+]1[O-])c1nc-2c(C)[nH]1,Ki,0.17,https://www.ebi.ac.uk/chembl/activity_report_card/27397652,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
CHEMBL6045806,,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](c1ccc(-c3cc(F)ccc3OC(F)(F)F)c[n+]1[O-])c1nc-2c(C)[nH]1,Ki,0.17,https://www.ebi.ac.uk/chembl/activity_report_card/27397724,low,proxy exclusion; replace or augment with curated patent examples before legal/IP conclusions
